Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,297,269675,228691,130730,0,40732,2,252,669,142,518
D:\Drives\OneDrive\GitHub\VanHuisDier,297,269675,228691,130730,0,40732,2,252,669,142,518
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup,263,214301,182476,100224,0,31647,1,178,451,102,375
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\bootstrap,17,169161,139156,92916,0,29903,0,102,374,102,374
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\bootstrap\css,17,169161,139156,92916,0,29903,0,102,374,102,374
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevondendieren,16,1811,1795,0,0,16,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\verlorendieren,32,4016,3984,0,0,32,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap,6,49769,40934,29155,0,8797,1,38,138,35,132
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap\css,6,49769,40934,29155,0,8797,1,38,138,35,132
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap\css\_pgbackup,4,39809,32747,21865,0,7038,0,24,88,24,88
D:\Drives\OneDrive\GitHub\VanHuisDier\css,2,903,746,651,0,133,0,24,68,5,11
D:\Drives\OneDrive\GitHub\VanHuisDier\gevondendieren,2,229,227,0,0,2,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verlorendieren,2,236,234,0,0,2,0,0,0,0,0
